workload1,420,,,,,,,,,,
workload2,420,,,,,,,,,,
workload3,420,,,,,,,,,,
workload4,420,,,,,,,,,,
workload5,420,,,,,,,,,,
workload6,0,,,,,,,,,,
workload7,0,,,,,,,,,,
gamma,0.8,,,,,,,,,,
location,type,rewards1,rewards2,rewards3,rewards4,rewards5,rewards6,rewards7,processingT,penalty,splitN
師大男一舍,一般,20,0,0,0,0,-500,-500,90,8,2
師大男三舍,一般,20,0,0,0,0,-500,-500,90,8,2
師大男五舍,一般,20,0,0,0,0,-500,-500,90,8,2
台大女四舍,一般,0,0,0,30,0,-500,-500,90,15,2
台大女六舍,一般,0,0,0,30,0,-500,-500,90,15,2
台科大男三舍,一般,0,0,25,0,0,-500,-500,90,8,2
台科大男五舍,一般,0,0,25,0,0,-500,-500,90,8,2
台科大男七舍,一般,0,0,25,0,0,-500,-500,90,8,2
台大女一舍,一般,0,0,0,0,30,-500,-500,90,15,2
台大女二舍,一般,0,0,0,0,30,-500,-500,90,15,2
台大女三舍,一般,0,0,0,0,30,-500,-500,90,15,2
台大女五舍,一般,0,0,0,0,30,-500,-500,90,15,2
台科大男一舍,一般,0,0,25,0,0,-500,-500,90,8,2
台大長興街舍A棟男舍,一般,0,30,0,0,0,-500,-500,90,5,2
台大女四舍,故障維修,0,0,0,50,-50,-500,-500,100,25,2
師大進修部推廣學院,故障維修,0,50,-50,-100,-200,-500,-500,100,25,2
台大長興街舍B棟女舍,故障維修,40,-50,-100,-200,-300,-500,-500,100,25,2
台大水源宿舍A棟,故障維修,45,-50,-100,-200,-300,-500,-500,100,25,2
臺大教職員單身宿舍,故障維修,0,0,35,-50,-100,-500,-500,100,25,2
